token_id,session_number,speaker1,speaker2,speaker1_id,speaker2_id,speaker1_gender,speaker2_gender,word_start_time,word_end_time,word_number_in_ipu,word_number_in_turn,word_number_in_task,total_number_of_words_in_ipu,total_number_of_words_in_turn,total_number_of_words_in_task,silence_before_word,silence_after_word,word,word_pos_tag,word_pos_tag_simplified,word_duration,word_number_of_syllables,word_speaking_rate_syllables_per_sec,word_speaking_rate_syllables_per_sec_speaker_normalized,word_speaking_rate_phones_per_sec,word_speaking_rate_phones_per_sec_speaker_normalized,word_tobi_break_index,word_tobi_pitch_accent,word_tobi_phrase_accent,word_tobi_boundary_tone,word_tobi_phrase_accent_boundary_tone,word_tobi_hif0_time,Stanford_PoS,Coreference_IDs
s01.cards.1.A.104.02,1,A,B,101,102,m,m,104.02,104.255,1,1,1,2,2,2,6.72,0.0,got,VBD,V,0.235,1,4.2553,-0.2444,12.765999999999998,0.6656,1,L*,_,_,_,,VBN,
s01.cards.1.A.104.25,1,A,B,101,102,m,m,104.255,104.385,2,2,2,2,2,2,0.0,5.1725,it,PRP,O,0.13,1,7.6923,1.9063,15.3846,1.3608,4,_,H-,L%,H-L%,,PRP,8
s01.cards.1.A.109.56,1,A,B,101,102,m,m,109.5575,110.01,1,1,1,1,1,1,5.1725,5.515,okay,UH,O,0.4525,2,4.4199,-0.1414,6.6298,-0.9634,4,H*,H-,H%,H-H%,109.7139,JJ,
s01.cards.1.A.115.53,1,A,B,101,102,m,m,115.525,115.7175,1,1,1,6,6,6,5.515,0.0,and,CC,O,0.1925,1,5.1948,0.3435,14.2857,1.0691,1,_,_,_,_,,CC,
s01.cards.1.A.115.72,1,A,B,101,102,m,m,115.7175,116.18,2,2,2,6,6,6,0.0,0.0,space,NN,N,0.4625,1,2.1622,-1.5542,8.6486,-0.4274,1,L*,_,_,_,,NN,59
s01.cards.1.A.116.18,1,A,B,101,102,m,m,116.18,116.537762,3,3,3,6,6,6,0.0,0.0,alien,NN,N,0.3578,3,8.3855,2.3401,13.0441,0.7395,3,L*,L-,_,L-,,JJ,59
s01.cards.1.A.116.54,1,A,B,101,102,m,m,116.537762,116.8975,4,4,4,6,6,6,0.0,0.0,money,NN,N,0.3597,2,5.5596,0.5718,11.1192,0.2285,3,L*,L-,_,L-,,NN,59
s01.cards.1.A.116.90,1,A,B,101,102,m,m,116.8975,117.16,5,5,5,6,6,6,0.0,0.0,got,VBD,V,0.2625,1,3.8095,-0.5233,11.4286,0.3106,1,X*?,_,_,_,,VBD,
s01.cards.1.A.117.16,1,A,B,101,102,m,m,117.16,117.295,6,6,6,6,6,6,0.0,7.1175,it,PRP,O,0.135,1,7.4074,1.7281,14.8148,1.2096,4,_,L-,L%,L-L%,,PRP,59
s01.cards.1.A.124.41,1,A,B,101,102,m,m,124.4125,124.5925,1,1,1,3,3,3,7.1175,0.0,g-,XX,O,0.18,1,5.5556,0.5693,8.3333,-0.5112,1p,_,_,_,_,,,
s01.cards.1.A.124.59,1,A,B,101,102,m,m,124.5925,124.8425,2,2,2,3,3,3,0.0,0.0,got,VBD,V,0.25,1,4.0,-0.4041,12.0,0.4623,1,H*,_,_,_,124.6959,VB,
s01.cards.1.A.124.84,1,A,B,101,102,m,m,124.8425,124.93,3,3,3,3,3,3,0.0,3.4375,it,PRP,O,0.0875,1,11.4286,4.2443,22.8571,3.3447,4,_,L-,L%,L-L%,,PRP,65
s01.cards.1.A.128.37,1,A,B,101,102,m,m,128.3675,128.5975,1,1,1,8,10,10,3.4375,0.0,mmhm,UH,O,0.23,2,8.6957,2.5342,13.0435,0.7393,4,H+!H*,L-,H%,L-H%,128.3817,,
s01.cards.1.A.128.60,1,A,B,101,102,m,m,128.5975,128.8925,2,2,2,8,10,10,0.0,0.0,gotta,UH,O,0.295,2,6.7797,1.3352,13.5593,0.8763,1,_,_,_,_,,VBD_NN,
s01.cards.1.A.128.89,1,A,B,101,102,m,m,128.8925,129.12,3,3,3,8,10,10,0.0,0.0,find,VB,V,0.2275,1,4.3956,-0.1566,17.5824,1.9443,1,L*,_,_,_,,VB,
s01.cards.1.A.129.12,1,A,B,101,102,m,m,129.12,129.22,4,4,4,8,10,10,0.0,0.0,it,PRP,O,0.1,1,10.0,3.3504,20.0,2.5862,4-,_,L-,L%,L-L%,,PRP,65
s01.cards.1.A.129.22,1,A,B,101,102,m,m,129.22,129.4125,5,5,5,8,10,10,0.0,0.0,there,RB,R,0.1925,1,5.1948,0.3435,13.8528,0.9542,1,L*,_,_,_,,RB,
s01.cards.1.A.129.41,1,A,B,101,102,m,m,129.4125,129.4575,6,6,6,8,10,10,0.0,0.0,it,PRP,O,0.045,1,22.2222,10.9984,44.4444,9.0757,1,_,_,_,_,,PRP,66
s01.cards.1.A.129.46,1,A,B,101,102,m,m,129.4575,129.875,7,7,7,8,10,10,0.0,0.0,is,VBZ,V,0.4175,1,2.3952,-1.4083,4.7904,-1.4517,4,_,L-,L%,L-L%,,VBZ,
s01.cards.1.A.129.88,1,A,B,101,102,m,m,129.875,130.32,8,8,8,8,10,10,0.0,0.1064,okay,RB,R,0.445,2,4.4944,-0.0948,6.7416,-0.9337,4,H+!H*,H-,L%,H-L%,129.9473,JJ,
s01.cards.1.A.130.43,1,A,B,101,102,m,m,130.426444,130.6325,1,9,9,2,10,10,0.1064,0.0,got,VBN,V,0.2061,1,4.853,0.1297,14.5591,1.1417,1,H*,_,_,_,130.5286,VBD,
s01.cards.1.A.130.63,1,A,B,101,102,m,m,130.6325,130.75,2,10,10,2,10,10,0.0,2.9139,it,PRP,O,0.1175,1,8.5106,2.4184,17.0213,1.7954,4,_,H-,L%,H-L%,,PRP,66
s01.cards.1.A.14.36,1,A,B,101,102,m,m,14.36,15.3025,1,1,2,1,27,50,4.985,12.0325,okay,UH,O,0.9425,2,2.122,-1.5793,3.1830000000000003,-1.8785,4,L*,L-,H%,L-H%,,JJ,
s01.cards.1.A.141.59,1,A,B,101,102,m,m,141.5875,142.045,1,1,1,8,26,26,7.53,0.0,okay,UH,O,0.4575,2,4.3716,-0.1716,6.5574,-0.9826,4,H+!H*,L-,H%,L-H%,141.6188,JJ,
